"url_bulletins","year","month","code_region","name_region","lat","lon","new_cases","total_cases","Unit","incidence","population"
"https://github.com/fbranda/measles/blob/main/Italy/2022/bulletins/RM_News_2022_67.pdf",2022,1,13,"Abruzzo",42.35122196,13.39843823,0,0,"N/1000000","0.0",1272627
"https://github.com/fbranda/measles/blob/main/Italy/2022/bulletins/RM_News_2022_67.pdf",2022,2,13,"Abruzzo",42.35122196,13.39843823,0,0,"N/1000000","0.0",1272627
"https://github.com/fbranda/measles/blob/main/Italy/2022/bulletins/RM_News_2022_67.pdf",2022,3,13,"Abruzzo",42.35122196,13.39843823,0,0,"N/1000000","0.0",1272627
"https://github.com/fbranda/measles/blob/main/Italy/2022/bulletins/RM_News_2022_67.pdf",2022,4,13,"Abruzzo",42.35122196,13.39843823,0,0,"N/1000000","0.0",1272627
"https://github.com/fbranda/measles/blob/main/Italy/2022/bulletins/RM_News_2022_67.pdf",2022,5,13,"Abruzzo",42.35122196,13.39843823,0,0,"N/1000000","0.0",1272627
"https://github.com/fbranda/measles/blob/main/Italy/2022/bulletins/RM_News_2022_67.pdf",2022,6,13,"Abruzzo",42.35122196,13.39843823,0,0,"N/1000000","0.0",1272627
"https://github.com/fbranda/measles/blob/main/Italy/2022/bulletins/RM_News_2022_67.pdf",2022,7,13,"Abruzzo",42.35122196,13.39843823,0,0,"N/1000000","0.0",1272627
"https://github.com/fbranda/measles/blob/main/Italy/2022/bulletins/RM_News_2022_67.pdf",2022,8,13,"Abruzzo",42.35122196,13.39843823,0,0,"N/1000000","0.0",1272627
"https://github.com/fbranda/measles/blob/main/Italy/2022/bulletins/RM_News_2022_67.pdf",2022,9,13,"Abruzzo",42.35122196,13.39843823,0,0,"N/1000000","0.0",1272627
"https://github.com/fbranda/measles/blob/main/Italy/2022/bulletins/RM_News_2022_67.pdf",2022,10,13,"Abruzzo",42.35122196,13.39843823,0,0,"N/1000000","0.0",1272627
"https://github.com/fbranda/measles/blob/main/Italy/2022/bulletins/RM_News_2022_67.pdf",2022,11,13,"Abruzzo",42.35122196,13.39843823,0,0,"N/1000000","0.0",1272627
"https://github.com/fbranda/measles/blob/main/Italy/2022/bulletins/RM_News_2022_67.pdf",2022,12,13,"Abruzzo",42.35122196,13.39843823,0,0,"N/1000000","0.0",1272627
"https://github.com/fbranda/measles/blob/main/Italy/2022/bulletins/RM_News_2022_67.pdf",2022,1,2,"Aosta Valley",45.73750286,7.320149366,0,0,"N/1000000","0.0",123130
"https://github.com/fbranda/measles/blob/main/Italy/2022/bulletins/RM_News_2022_67.pdf",2022,2,2,"Aosta Valley",45.73750286,7.320149366,0,0,"N/1000000","0.0",123130
"https://github.com/fbranda/measles/blob/main/Italy/2022/bulletins/RM_News_2022_67.pdf",2022,3,2,"Aosta Valley",45.73750286,7.320149366,0,0,"N/1000000","0.0",123130
"https://github.com/fbranda/measles/blob/main/Italy/2022/bulletins/RM_News_2022_67.pdf",2022,4,2,"Aosta Valley",45.73750286,7.320149366,0,0,"N/1000000","0.0",123130
"https://github.com/fbranda/measles/blob/main/Italy/2022/bulletins/RM_News_2022_67.pdf",2022,5,2,"Aosta Valley",45.73750286,7.320149366,0,0,"N/1000000","0.0",123130
"https://github.com/fbranda/measles/blob/main/Italy/2022/bulletins/RM_News_2022_67.pdf",2022,6,2,"Aosta Valley",45.73750286,7.320149366,0,0,"N/1000000","0.0",123130
"https://github.com/fbranda/measles/blob/main/Italy/2022/bulletins/RM_News_2022_67.pdf",2022,7,2,"Aosta Valley",45.73750286,7.320149366,0,0,"N/1000000","0.0",123130
"https://github.com/fbranda/measles/blob/main/Italy/2022/bulletins/RM_News_2022_67.pdf",2022,8,2,"Aosta Valley",45.73750286,7.320149366,0,0,"N/1000000","0.0",123130
"https://github.com/fbranda/measles/blob/main/Italy/2022/bulletins/RM_News_2022_67.pdf",2022,9,2,"Aosta Valley",45.73750286,7.320149366,0,0,"N/1000000","0.0",123130
"https://github.com/fbranda/measles/blob/main/Italy/2022/bulletins/RM_News_2022_67.pdf",2022,10,2,"Aosta Valley",45.73750286,7.320149366,0,0,"N/1000000","0.0",123130
"https://github.com/fbranda/measles/blob/main/Italy/2022/bulletins/RM_News_2022_67.pdf",2022,11,2,"Aosta Valley",45.73750286,7.320149366,0,0,"N/1000000","0.0",123130
"https://github.com/fbranda/measles/blob/main/Italy/2022/bulletins/RM_News_2022_67.pdf",2022,12,2,"Aosta Valley",45.73750286,7.320149366,0,0,"N/1000000","0.0",123130
"https://github.com/fbranda/measles/blob/main/Italy/2022/bulletins/RM_News_2022_67.pdf",2022,1,21,"AP Bolzano",46.49933453,11.35662422,0,0,"N/1000000","0.0",534147
"https://github.com/fbranda/measles/blob/main/Italy/2022/bulletins/RM_News_2022_67.pdf",2022,2,21,"AP Bolzano",46.49933453,11.35662422,0,0,"N/1000000","0.0",534147
"https://github.com/fbranda/measles/blob/main/Italy/2022/bulletins/RM_News_2022_67.pdf",2022,3,21,"AP Bolzano",46.49933453,11.35662422,0,0,"N/1000000","0.0",534147
"https://github.com/fbranda/measles/blob/main/Italy/2022/bulletins/RM_News_2022_67.pdf",2022,4,21,"AP Bolzano",46.49933453,11.35662422,0,0,"N/1000000","0.0",534147
"https://github.com/fbranda/measles/blob/main/Italy/2022/bulletins/RM_News_2022_67.pdf",2022,5,21,"AP Bolzano",46.49933453,11.35662422,0,0,"N/1000000","0.0",534147
"https://github.com/fbranda/measles/blob/main/Italy/2022/bulletins/RM_News_2022_67.pdf",2022,6,21,"AP Bolzano",46.49933453,11.35662422,0,0,"N/1000000","0.0",534147
"https://github.com/fbranda/measles/blob/main/Italy/2022/bulletins/RM_News_2022_67.pdf",2022,7,21,"AP Bolzano",46.49933453,11.35662422,0,0,"N/1000000","0.0",534147
"https://github.com/fbranda/measles/blob/main/Italy/2022/bulletins/RM_News_2022_67.pdf",2022,8,21,"AP Bolzano",46.49933453,11.35662422,0,0,"N/1000000","0.0",534147
"https://github.com/fbranda/measles/blob/main/Italy/2022/bulletins/RM_News_2022_67.pdf",2022,9,21,"AP Bolzano",46.49933453,11.35662422,0,0,"N/1000000","0.0",534147
"https://github.com/fbranda/measles/blob/main/Italy/2022/bulletins/RM_News_2022_67.pdf",2022,10,21,"AP Bolzano",46.49933453,11.35662422,0,0,"N/1000000","0.0",534147
"https://github.com/fbranda/measles/blob/main/Italy/2022/bulletins/RM_News_2022_67.pdf",2022,11,21,"AP Bolzano",46.49933453,11.35662422,0,0,"N/1000000","0.0",534147
"https://github.com/fbranda/measles/blob/main/Italy/2022/bulletins/RM_News_2022_67.pdf",2022,12,21,"AP Bolzano",46.49933453,11.35662422,0,0,"N/1000000","0.0",534147
"https://github.com/fbranda/measles/blob/main/Italy/2022/bulletins/RM_News_2022_67.pdf",2022,1,22,"AP Trento",46.06893511,11.12123097,0,0,"N/1000000","0.0",542996
"https://github.com/fbranda/measles/blob/main/Italy/2022/bulletins/RM_News_2022_67.pdf",2022,2,22,"AP Trento",46.06893511,11.12123097,0,0,"N/1000000","0.0",542996
"https://github.com/fbranda/measles/blob/main/Italy/2022/bulletins/RM_News_2022_67.pdf",2022,3,22,"AP Trento",46.06893511,11.12123097,0,0,"N/1000000","0.0",542996
"https://github.com/fbranda/measles/blob/main/Italy/2022/bulletins/RM_News_2022_67.pdf",2022,4,22,"AP Trento",46.06893511,11.12123097,0,0,"N/1000000","0.0",542996
"https://github.com/fbranda/measles/blob/main/Italy/2022/bulletins/RM_News_2022_67.pdf",2022,5,22,"AP Trento",46.06893511,11.12123097,0,0,"N/1000000","0.0",542996
"https://github.com/fbranda/measles/blob/main/Italy/2022/bulletins/RM_News_2022_67.pdf",2022,6,22,"AP Trento",46.06893511,11.12123097,0,0,"N/1000000","0.0",542996
"https://github.com/fbranda/measles/blob/main/Italy/2022/bulletins/RM_News_2022_67.pdf",2022,7,22,"AP Trento",46.06893511,11.12123097,0,0,"N/1000000","0.0",542996
"https://github.com/fbranda/measles/blob/main/Italy/2022/bulletins/RM_News_2022_67.pdf",2022,8,22,"AP Trento",46.06893511,11.12123097,0,0,"N/1000000","0.0",542996
"https://github.com/fbranda/measles/blob/main/Italy/2022/bulletins/RM_News_2022_67.pdf",2022,9,22,"AP Trento",46.06893511,11.12123097,0,0,"N/1000000","0.0",542996
