"url_bulletins","year","month","new_cases","total_cases","median_age","female_cases","female_percent","male_cases","male_percent","recovered_cases","emergency_room_visit_request","no_vaccination_cases","no_vaccination_percent","first_dose_vaccination","first_dose_vaccination_percent","second_dose_vaccination","second_dose_vaccination_percent"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2018_49.pdf",2019,1,163,163,30,82,"50.3",81,"49.7",60,37,136,"87.2",8,"5.1",4,"2.6"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2018_50.pdf",2019,2,168,331,29,163,"49.2",168,"50.8",122,89,275,"86.5",22,"6.9",6,"1.9"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_51.pdf",2019,3,226,557,30,279,"50.1",278,"49.9",224,150,462,"87.5",35,"6.6",11,"2.1"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_52.pdf",2019,4,307,864,30,417,"48.3",447,"51.7",375,231,704,"87.0",63,"7.8",16,"2.0"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_53.pdf",2019,5,232,1096,30,529,"48.3",567,"51.7",492,279,880,"86.7",87,"8.6",20,"2.0"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_54.pdf",2019,6,238,1334,30,647,"48.5",687,"51.5",592,349,1071,"87.0",103,"8.4",28,"2.3"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_55.pdf",2019,8,237,1571,30,771,"49.1",800,"50.9",718,405,1251,"86.5",120,"8.3",35,"2.4"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_56.pdf",2019,9,25,1596,30,790,"49.5",806,"50.5",733,412,1270,"86.5",123,"8.4",37,"2.5"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_57.pdf",2019,10,9,1605,30,NA,NA,NA,NA,735,414,1274,"86.3",125,"8.5",38,"2.6"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_58.pdf",2019,12,22,1627,30,805,"49.5",822,"50.5",752,416,1287,"86.2",130,"8.7",37,"2.5"
