"url_bulletins","year","month","age_group","cases","cases_percent","incidence","cases_with_complication","cases_with_complication_percent","cases_with_complication_percent_total"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_24.pdf",2016,"1","0_4",21,"30.4",NA,11,"52.4","40.7"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_24.pdf",2016,"1","5_14",16,"23.1",NA,3,"18.8","11.1"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_24.pdf",2016,"1","15_39",22,"31.8",NA,7,"31.8","25.9"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_24.pdf",2016,"1","40_64",10,"14.5",NA,6,"60.0","22.2"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_24.pdf",2016,"1","65+",0,"0.0",NA,0,"0.0","0.0"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_25.pdf",2016,"2","0_4",43,"30.5","1.58",22,"51.2","32.8"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_25.pdf",2016,"2","5_14",22,"15.6","0.38",9,"40.9","13.4"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_25.pdf",2016,"2","15_39",56,"39.7","0.32",25,"44.6","37.3"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_25.pdf",2016,"2","40_64",20,"14.2","0.09",11,"55.0","16.4"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_25.pdf",2016,"2","65+",0,"0.0","0.0",0,"0.0","0.0"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_26.pdf",2016,"3","0_4",59,"26.8","2.17",26,"44.1","26.3"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_26.pdf",2016,"3","5_14",33,"15.0","0.58",11,"33.3","11.1"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_26.pdf",2016,"3","15_39",93,"42.3","0.53",41,"44.1","41.4"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_26.pdf",2016,"3","40_64",35,"15.9","0.16",21,"60.0","21.2"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_26.pdf",2016,"3","65+",0,"0.0","0.0",0,"0.0","0.0"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_27_def.pdf",2016,"4","0_4",76,"25.9","2.79",34,"44.7","25.6"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_27_def.pdf",2016,"4","5_14",41,"13.9","0.72",15,"36.6","11.3"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_27_def.pdf",2016,"4","15_39",131,"44.6","0.75",58,"44.3","43.6"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_27_def.pdf",2016,"4","40_64",45,"15.3","0.21",25,"55.6","18.8"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_27_def.pdf",2016,"4","65+",1,"0.0","0.01",1,"100.0","0.8"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_28.pdf",2016,"5","0_4",98,"26.7","3.60",36,"36.7","25.7"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_28.pdf",2016,"5","5_14",57,"15.5","1.0",16,"28.1","11.4"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_28.pdf",2016,"5","15_39",157,"42.8","0.90",61,"38.9","43.6"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_28.pdf",2016,"5","40_64",53,"14.4","0.24",26,"49.1","18.6"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_28.pdf",2016,"5","65+",2,"0.0","0.02",1,"50.0","0.7"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_29.pdf",2016,"6","0_4",123,"28.3","4.52",55,"44.7","27.2"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_29.pdf",2016,"6","5_14",81,"18.7","1.42",38,"46.9","18.8"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_29.pdf",2016,"6","15_39",172,"39.6","0.99",78,"45.3","38.6"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_29.pdf",2016,"6","40_64",57,"13.1","0.26",30,"52.6","14.9"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_29.pdf",2016,"6","65+",1,"0.0","0.01",1,"100.0","0.5"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_30.pdf",2016,"7_8","0_4",154,"28.5","5.65",70,"45.5","28.6"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_30.pdf",2016,"7_8","5_14",101,"18.7","1.76",44,"43.6","18.0"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_30.pdf",2016,"7_8","15_39",221,"40.9","1.27",98,"44.3","40.0"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_30.pdf",2016,"7_8","40_64",63,"11.7","0.29",32,"50.8","13.1"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_30.pdf",2016,"7_8","65+",1,"0.0","0.01",1,"100.0","0.4"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_31.pdf",2016,"9","0_4",165,"28.3","6.41",74,"44.8","28.1"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_31.pdf",2016,"9","5_14",111,"19.0","1.94",46,"41.4","17.5"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_31.pdf",2016,"9","15_39",239,"40.9","1.42",107,"44.8","40.7"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_31.pdf",2016,"9","40_64",68,"11.6","0.31",35,"51.5","13.3"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_31.pdf",2016,"9","65+",0,"0.0","0.01",1,"100.0","0.4"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_32.pdf",2016,"10","0_4",180,"28.3","6.41",73,"40.6","27.7"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_32.pdf",2016,"10","5_14",119,"19.0","1.94",46,"38.7","17.4"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_32.pdf",2016,"10","15_39",269,"40.9","1.42",108,"40.1","40.9"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_32.pdf",2016,"10","40_64",81,"11.6","0.31",36,"44.4","13.6"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_32.pdf",2016,"10","65+",1,"0.0","0.01",1,"100.0","0.4"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_33.pdf",2016,"11","0_4",198,"27.3","7.7",82,"41.4","26.5"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_33.pdf",2016,"11","5_14",126,"17.4","2.21",49,"38.9","15.8"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_33.pdf",2016,"11","15_39",307,"42.3","1.83",132,"43.0","42.6"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_33.pdf",2016,"11","40_64",94,"12.9","0.42",46,"48.9","14.8"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_33.pdf",2016,"11","65+",1,"0.0","0.01",1,"100.0","0.3"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_34.pdf",2016,"12","0_4",227,"26.9","8.82",89,"39.2","25.7"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_34.pdf",2016,"12","5_14",141,"16.7","2.47",52,"36.9","15.0"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_34.pdf",2016,"12","15_39",373,"44.2","2.22",156,"41.8","45.1"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_34.pdf",2016,"12","40_64",102,"12.1","0.46",48,"47.1","13.9"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2016_34.pdf",2016,"12","65+",1,"0.0","0.01",1,"100.0","0.3"
