"url_bulletins","year","month","name_region","new_cases","total_cases","Unit","monthly_incidence"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_02.pdf",2014,"1","Piedmont",34,34,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_02.pdf",2014,"1","Aosta Valley",0,0,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_02.pdf",2014,"1","Lombardy",2,2,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_02.pdf",2014,"1","AP Bolzano",0,0,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_02.pdf",2014,"1","AP Trento",0,0,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_02.pdf",2014,"1","Veneto",0,0,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_02.pdf",2014,"1","Friuli-Venezia Giulia",0,0,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_02.pdf",2014,"1","Liguria",21,21,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_02.pdf",2014,"1","Emilia-Romagna",4,4,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_02.pdf",2014,"1","Tuscany",0,0,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_02.pdf",2014,"1","Umbria",0,0,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_02.pdf",2014,"1","Marche",1,1,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_02.pdf",2014,"1","Lazio",0,0,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_02.pdf",2014,"1","Abruzzo",1,1,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_02.pdf",2014,"1","Molise",0,0,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_02.pdf",2014,"1","Campania",0,0,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_02.pdf",2014,"1","Apulia",0,0,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_02.pdf",2014,"1","Basilicata",0,0,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_02.pdf",2014,"1","Calabria",0,0,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_02.pdf",2014,"1","Sicily",1,1,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_02.pdf",2014,"1","Sardinia",0,0,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_03.pdf",2014,"2","Piedmont",37,71,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_03.pdf",2014,"2","Aosta Valley",0,0,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_03.pdf",2014,"2","Lombardy",12,14,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_03.pdf",2014,"2","AP Bolzano",0,0,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_03.pdf",2014,"2","AP Trento",1,1,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_03.pdf",2014,"2","Veneto",2,2,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_03.pdf",2014,"2","Friuli-Venezia Giulia",1,1,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_03.pdf",2014,"2","Liguria",13,34,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_03.pdf",2014,"2","Emilia-Romagna",8,12,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_03.pdf",2014,"2","Tuscany",12,12,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_03.pdf",2014,"2","Umbria",0,0,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_03.pdf",2014,"2","Marche",0,1,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_03.pdf",2014,"2","Lazio",12,12,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_03.pdf",2014,"2","Abruzzo",0,1,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_03.pdf",2014,"2","Molise",0,0,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_03.pdf",2014,"2","Campania",0,0,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_03.pdf",2014,"2","Apulia",2,2,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_03.pdf",2014,"2","Basilicata",0,0,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_03.pdf",2014,"2","Calabria",7,7,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_03.pdf",2014,"2","Sicily",1,2,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_03.pdf",2014,"2","Sardinia",0,0,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_04.pdf",2014,"3","Piedmont",27,98,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_04.pdf",2014,"3","Aosta Valley",0,0,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_04.pdf",2014,"3","Lombardy",19,33,"N/100000",NA
