"url_bulletins","year","month","code_region","name_region","lat","lon","cases","incidence","population"
"https://github.com/fbranda/measles/blob/main/Italy/2018/bulletins/RM_News_2018_38.pdf",2018,"1",13,"Abruzzo",42.35122196,13.39843823,1,"0.8",1300645
"https://github.com/fbranda/measles/blob/main/Italy/2018/bulletins/RM_News_2018_39.pdf",2018,"2",13,"Abruzzo",42.35122196,13.39843823,1,"0.8",1300645
"https://github.com/fbranda/measles/blob/main/Italy/2018/bulletins/RM_News_2018_40.pdf",2018,"3",13,"Abruzzo",42.35122196,13.39843823,2,"1.5",1300645
"https://github.com/fbranda/measles/blob/main/Italy/2018/bulletins/RM_News_2018_41.pdf",2018,"4",13,"Abruzzo",42.35122196,13.39843823,26,"20.0",1300645
"https://github.com/fbranda/measles/blob/main/Italy/2018/bulletins/RM_News_2018_42.pdf",2018,"5",13,"Abruzzo",42.35122196,13.39843823,6,"4.6",1300645
"https://github.com/fbranda/measles/blob/main/Italy/2018/bulletins/RM_News_2018_43.pdf",2018,"6",13,"Abruzzo",42.35122196,13.39843823,10,"7.7",1300645
"https://github.com/fbranda/measles/blob/main/Italy/2018/bulletins/RM_News_2018_43.pdf",2018,"7",13,"Abruzzo",42.35122196,13.39843823,1,"0.8",1300645
"https://github.com/fbranda/measles/blob/main/Italy/2018/bulletins/RM_News_2018_44.pdf",2018,"8",13,"Abruzzo",42.35122196,13.39843823,1,"0.8",1300645
"https://github.com/fbranda/measles/blob/main/Italy/2018/bulletins/RM_News_2018_45.pdf",2018,"9",13,"Abruzzo",42.35122196,13.39843823,2,"1.5",1300645
"https://github.com/fbranda/measles/blob/main/Italy/2018/bulletins/RM_News_2018_46.pdf",2018,"10",13,"Abruzzo",42.35122196,13.39843823,0,"0.0",1300645
"https://github.com/fbranda/measles/blob/main/Italy/2018/bulletins/RM_News_2018_47.pdf",2018,"11",13,"Abruzzo",42.35122196,13.39843823,0,"0.0",1300645
"https://github.com/fbranda/measles/blob/main/Italy/2018/bulletins/RM_News_2018_48_def.pdf",2018,"12",13,"Abruzzo",42.35122196,13.39843823,0,"0.0",1300645
"https://github.com/fbranda/measles/blob/main/Italy/2018/bulletins/RM_News_2018_48_def.pdf",2018,"Total",13,"Abruzzo",42.35122196,13.39843823,50,"38.4",1300645
