"url_bulletins","year","month","code_region","name_region","lat","long","new_cases","total_cases","Unit","monthly_incidence"
"https://github.com/fbranda/measles/blob/main/Italy/2013/bulletins/R%26M_News_2014_01.pdf",2013,NA,1,"Piedmont",45.0732745,7.680687483,620,620,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2013/bulletins/R%26M_News_2014_01.pdf",2013,NA,2,"Aosta Valley",45.73750286,7.320149366,5,5,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2013/bulletins/R%26M_News_2014_01.pdf",2013,NA,3,"Lombardy",45.46679409,9.190347404,703,703,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2013/bulletins/R%26M_News_2014_01.pdf",2013,NA,21,"AP Bolzano",46.49933453,11.35662422,107,107,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2013/bulletins/R%26M_News_2014_01.pdf",2013,NA,22,"AP Trento",46.06893511,11.12123097,5,5,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2013/bulletins/R%26M_News_2014_01.pdf",2013,NA,5,"Veneto",45.43490485,12.33845213,27,27,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2013/bulletins/R%26M_News_2014_01.pdf",2013,NA,6,"Friuli-Venezia Giulia",45.6494354,13.76813649,13,13,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2013/bulletins/R%26M_News_2014_01.pdf",2013,NA,7,"Liguria",44.41149315,8.9326992,239,239,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2013/bulletins/R%26M_News_2014_01.pdf",2013,NA,8,"Emilia-Romagna",44.49436681,11.3417208,102,102,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2013/bulletins/R%26M_News_2014_01.pdf",2013,NA,9,"Tuscany",43.76923077,11.25588885,93,93,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2013/bulletins/R%26M_News_2014_01.pdf",2013,NA,10,"Umbria",43.10675841,12.38824698,1,1,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2013/bulletins/R%26M_News_2014_01.pdf",2013,NA,11,"Marche",43.61675973,13.5188753,51,51,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2013/bulletins/R%26M_News_2014_01.pdf",2013,NA,12,"Lazio",41.89277044,12.48366722,0,0,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2013/bulletins/R%26M_News_2014_01.pdf",2013,NA,13,"Abruzzo",42.35122196,13.39843823,149,149,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2013/bulletins/R%26M_News_2014_01.pdf",2013,NA,14,"Molise",41.55774754,14.65916051,3,3,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2013/bulletins/R%26M_News_2014_01.pdf",2013,NA,15,"Campania",40.83956555,14.25084984,32,32,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2013/bulletins/R%26M_News_2014_01.pdf",2013,NA,16,"Apulia",41.12559576,16.86736689,29,29,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2013/bulletins/R%26M_News_2014_01.pdf",2013,NA,17,"Basilicata",40.63947052,15.80514834,0,0,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2013/bulletins/R%26M_News_2014_01.pdf",2013,NA,18,"Calabria",38.90597598,16.59440194,3,3,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2013/bulletins/R%26M_News_2014_01.pdf",2013,NA,19,"Sicily",38.11569725,13.3623566999999,26,26,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2013/bulletins/R%26M_News_2014_01.pdf",2013,NA,20,"Sardinia",39.21531192,9.110616306,3,3,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_02.pdf",2014,"1",1,"Piedmont",45.0732745,7.680687483,34,34,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_02.pdf",2014,"1",2,"Aosta Valley",45.73750286,7.320149366,0,0,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_02.pdf",2014,"1",3,"Lombardy",45.46679409,9.190347404,2,2,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_02.pdf",2014,"1",21,"AP Bolzano",46.49933453,11.35662422,0,0,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_02.pdf",2014,"1",22,"AP Trento",46.06893511,11.12123097,0,0,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_02.pdf",2014,"1",5,"Veneto",45.43490485,12.33845213,0,0,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_02.pdf",2014,"1",6,"Friuli-Venezia Giulia",45.6494354,13.76813649,0,0,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_02.pdf",2014,"1",7,"Liguria",44.41149315,8.9326992,21,21,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_02.pdf",2014,"1",8,"Emilia-Romagna",44.49436681,11.3417208,4,4,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_02.pdf",2014,"1",9,"Tuscany",43.76923077,11.25588885,0,0,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_02.pdf",2014,"1",10,"Umbria",43.10675841,12.38824698,0,0,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_02.pdf",2014,"1",11,"Marche",43.61675973,13.5188753,1,1,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_02.pdf",2014,"1",12,"Lazio",41.89277044,12.48366722,0,0,"N/100000",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_02.pdf",2014,"1",13,"Abruzzo",42.35122196,13.39843823,1,1,"N/100000",NA
